label,session,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116
scuba,3,0.000001,0.004622,0.010173,0.303180,0.099807,0.151994,0.000013,0.000001,0.000000,0.539188,0.316119,0.051776,0.040337,0.007489,0.296046,0.301764,0.020434,0.257176,0.257791,0.519974,0.379974,0.001095,0.001535,0.000053,0.000817,0.008242,0.000946,0.000386,0.008670,0.011451,0.000046,0.000121,0.002893,0.000925,0.003797,0.005214,0.002799,0.009325,0.771605,0.005028,0.115809,0.014275,0.060532,0.039097,0.000001,0.000002,0.000002,0.001018,0.000063,0.000065,0.000007,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.059090,-0.508519,0.042955,0.334825,-0.944288,-0.007735,0.634023,-1.249971,-0.072688,0.835449,-1.509287,-0.124705,0.418659,-1.020253,-0.174114,0.955828,-1.357553,-0.314068,1.182164,-1.433107,-0.361884,1.204370,-1.409111,-0.350194,0.535429,-0.805437,-0.254108,1.142922,-1.123285,-0.345561,1.333250,-1.146119,-0.326507,1.311528,-1.108238,-0.297880,0.654214,-0.541433,-0.325130,1.250857,-0.833321,-0.374553,1.367589,-0.833199,-0.300037,1.287355,-0.802969,-0.239280,0.760449,-0.270981,-0.392008,1.244205,-0.509527,-0.394332,1.328931,-0.517513,-0.310092,1.252660,-0.495595,-0.237070
scuba,3,0.000004,0.015499,0.009142,0.207296,0.078958,0.161194,0.000005,0.000003,0.000001,0.178009,0.036246,0.042854,0.024855,0.006146,0.406736,0.391128,0.007153,0.238803,0.286810,0.318397,0.287942,0.002965,0.012186,0.000054,0.000056,0.002706,0.002832,0.000314,0.004561,0.001566,0.001475,0.003029,0.005576,0.000120,0.001064,0.001619,0.036273,0.026558,0.589407,0.018551,0.087295,0.001930,0.099027,0.038937,0.000026,0.000032,0.000146,0.012925,0.000028,0.000033,0.000008,0.000001,1.000000,0.000000,0.000000,0.000000,0.000000,0.043346,-0.525313,0.032367,0.341946,-0.983094,-0.022707,0.691390,-1.279509,-0.083410,0.949589,-1.516381,-0.132929,0.405895,-1.030460,-0.228731,0.949695,-1.375439,-0.361516,1.202482,-1.490660,-0.389628,1.294657,-1.494448,-0.364433,0.553044,-0.777475,-0.299430,1.191131,-1.118934,-0.386146,1.391356,-1.217995,-0.333149,1.398255,-1.211141,-0.271292,0.689610,-0.496880,-0.356144,1.309478,-0.829376,-0.407931,1.414995,-0.909181,-0.285116,1.347172,-0.912002,-0.178886,0.800964,-0.224289,-0.409113,1.302985,-0.497390,-0.416603,1.390409,-0.585395,-0.301469,1.330272,-0.606975,-0.191727
scuba,3,0.000002,0.016974,0.006381,0.140493,0.113265,0.183980,0.000007,0.000001,0.000001,0.130673,0.026359,0.162782,0.139509,0.007468,0.423439,0.412956,0.005932,0.054720,0.077371,0.244789,0.270842,0.004097,0.024257,0.000129,0.000058,0.000675,0.000333,0.000122,0.009044,0.005080,0.001168,0.001776,0.001952,0.000161,0.000506,0.000592,0.159881,0.110358,0.039319,0.007252,0.007185,0.000232,0.019431,0.016516,0.012162,0.016436,0.004615,0.076866,0.000083,0.000070,0.000007,0.000001,1.000000,0.000000,0.000000,0.000000,0.000000,0.001704,-0.513663,0.032969,0.289926,-0.958297,-0.015297,0.630557,-1.214889,-0.063529,0.893214,-1.381292,-0.093679,0.412689,-1.012985,-0.264113,0.978326,-1.389095,-0.389057,1.218954,-1.487577,-0.394277,1.267919,-1.457827,-0.345616,0.570816,-0.754565,-0.323704,1.194617,-1.119169,-0.416924,1.376029,-1.220249,-0.343695,1.359496,-1.195820,-0.255552,0.707598,-0.474401,-0.365979,1.324180,-0.797932,-0.419807,1.416806,-0.900550,-0.284730,1.325296,-0.901024,-0.159350,0.804482,-0.208821,-0.402755,1.315889,-0.470255,-0.405474,1.378202,-0.583664,-0.280534,1.284630,-0.606176,-0.155446
scuba,3,0.000003,0.021330,0.010824,0.072464,0.104014,0.140583,0.000008,0.000002,0.000003,0.134973,0.028730,0.119917,0.104048,0.010149,0.389708,0.395824,0.004967,0.068301,0.094851,0.224878,0.303624,0.003625,0.021349,0.000106,0.000069,0.000835,0.000185,0.000117,0.015714,0.009762,0.001400,0.002691,0.001095,0.000325,0.000422,0.000431,0.181080,0.238560,0.015095,0.003132,0.021124,0.000462,0.053649,0.027093,0.025186,0.053195,0.006432,0.344210,0.000167,0.000248,0.000006,0.000001,1.000000,0.000000,0.000000,0.000000,0.000000,0.018933,-0.503322,0.036694,0.314596,-0.928890,-0.004360,0.642719,-1.177138,-0.049015,0.905472,-1.327572,-0.074587,0.443780,-0.998377,-0.228558,0.979681,-1.317496,-0.343105,1.202225,-1.388957,-0.343481,1.232031,-1.336594,-0.292178,0.595198,-0.750159,-0.288072,1.178541,-1.069958,-0.369249,1.343874,-1.154967,-0.297939,1.311940,-1.111681,-0.212483,0.720297,-0.478239,-0.332176,1.292498,-0.771286,-0.377975,1.363498,-0.851368,-0.247188,1.260443,-0.825721,-0.125418,0.803115,-0.222305,-0.371358,1.277181,-0.468340,-0.366428,1.311625,-0.550016,-0.241294,1.200422,-0.530574,-0.116597
scuba,3,0.000004,0.014004,0.008039,0.150309,0.135812,0.145478,0.000008,0.000002,0.000003,0.093999,0.029793,0.149940,0.145977,0.008246,0.408831,0.407859,0.004862,0.050171,0.069201,0.192637,0.255498,0.005910,0.021763,0.000117,0.000084,0.000739,0.000181,0.000086,0.037155,0.009159,0.000412,0.001049,0.001760,0.000314,0.000442,0.000501,0.165532,0.167451,0.033107,0.005775,0.014913,0.000422,0.055076,0.042015,0.025790,0.049872,0.002560,0.400103,0.000422,0.000489,0.000010,0.000001,1.000000,0.000000,0.000000,0.000000,0.000000,0.048702,-0.511555,0.051895,0.338611,-0.926516,0.012828,0.657432,-1.175722,-0.029790,0.913842,-1.331493,-0.054646,0.457361,-0.998182,-0.230667,0.977488,-1.290615,-0.319893,1.213437,-1.353285,-0.295849,1.280916,-1.314282,-0.234179,0.591144,-0.752216,-0.291039,1.177097,-1.047383,-0.350177,1.362806,-1.134113,-0.260892,1.369748,-1.109514,-0.168218,0.709327,-0.483836,-0.331149,1.272272,-0.756395,-0.355509,1.361514,-0.838634,-0.215587,1.283348,-0.824420,-0.093391,0.787420,-0.228798,-0.364930,1.254365,-0.458401,-0.336950,1.311506,-0.547783,-0.203949,1.230074,-0.548834,-0.078856
scuba,3,0.000006,0.027271,0.010759,0.116102,0.112651,0.156690,0.000010,0.000002,0.000003,0.113897,0.031306,0.196082,0.178241,0.005396,0.458330,0.457797,0.003945,0.034630,0.048859,0.162936,0.353267,0.004398,0.017966,0.000104,0.000078,0.000938,0.000233,0.000102,0.025943,0.009756,0.000521,0.001122,0.001542,0.000150,0.000451,0.000494,0.187988,0.202203,0.026551,0.011660,0.020066,0.000665,0.069975,0.051911,0.074647,0.144744,0.003642,0.379369,0.000736,0.001207,0.000007,0.000002,1.000000,0.000000,0.000000,0.000000,0.000000,0.055127,-0.500041,0.080960,0.331092,-0.884445,0.044270,0.636302,-1.085344,-0.003882,0.890820,-1.185917,-0.035769,0.447559,-0.990577,-0.225973,0.969011,-1.282025,-0.323056,1.214128,-1.324420,-0.285499,1.269073,-1.261665,-0.204227,0.573923,-0.762219,-0.299366,1.162776,-1.039883,-0.354983,1.360246,-1.099258,-0.237816,1.356411,-1.052163,-0.115274,0.681780,-0.496199,-0.351877,1.244355,-0.750020,-0.378949,1.357288,-0.809614,-0.213473,1.282485,-0.782219,-0.063269,0.752979,-0.230668,-0.395479,1.213335,-0.442667,-0.376583,1.284592,-0.513602,-0.232290,1.207092,-0.508051,-0.087869
scuba,3,0.000005,0.058436,0.021809,0.060735,0.086723,0.109701,0.000008,0.000002,0.000003,0.126599,0.026227,0.216258,0.187558,0.003915,0.524279,0.522480,0.003076,0.028576,0.047243,0.129966,0.370709,0.003931,0.020889,0.000104,0.000057,0.000552,0.000265,0.000055,0.020039,0.008907,0.000520,0.001022,0.001631,0.000093,0.000418,0.000431,0.147730,0.167687,0.038538,0.020139,0.011788,0.000427,0.079183,0.069663,0.098572,0.197604,0.004351,0.364157,0.001126,0.001935,0.000007,0.000002,1.000000,0.000000,0.000000,0.000000,0.000000,0.064886,-0.506199,0.088430,0.338551,-0.879704,0.051376,0.635631,-1.072229,0.003217,0.880935,-1.174908,-0.030600,0.457323,-0.990303,-0.236612,0.983131,-1.275710,-0.337913,1.224676,-1.307659,-0.305876,1.274329,-1.246579,-0.229581,0.565997,-0.762933,-0.312355,1.161623,-1.028223,-0.370963,1.361055,-1.079473,-0.261325,1.355823,-1.032433,-0.147714,0.657837,-0.495785,-0.365645,1.225817,-0.733156,-0.399073,1.377513,-0.805523,-0.255169,1.324499,-0.792548,-0.122488,0.721919,-0.226477,-0.407332,1.186686,-0.415209,-0.394817,1.301434,-0.502100,-0.267716,1.254654,-0.525190,-0.138920
scuba,3,0.000004,0.089200,0.038341,0.034861,0.071301,0.082685,0.000007,0.000002,0.000003,0.151961,0.047325,0.231260,0.210265,0.002636,0.616798,0.607335,0.001990,0.024891,0.038139,0.130402,0.439225,0.003581,0.011680,0.000145,0.000048,0.000521,0.000350,0.000045,0.021139,0.012254,0.000426,0.000871,0.002825,0.000080,0.000667,0.000731,0.137732,0.185777,0.049326,0.022398,0.009264,0.000355,0.057174,0.072042,0.036980,0.088078,0.002733,0.349589,0.001982,0.003029,0.000010,0.000001,1.000000,0.000000,0.000000,0.000000,0.000000,0.062673,-0.500039,0.091118,0.337633,-0.872709,0.059060,0.636280,-1.063314,0.015713,0.884475,-1.164305,-0.013692,0.452285,-0.998444,-0.222376,0.975441,-1.269215,-0.311207,1.215492,-1.305158,-0.269464,1.275595,-1.252542,-0.189910,0.564021,-0.769726,-0.298977,1.150155,-1.040522,-0.353352,1.346869,-1.094477,-0.239584,1.346917,-1.051331,-0.120018,0.657075,-0.500662,-0.352571,1.211767,-0.749875,-0.379706,1.369454,-0.823668,-0.225630,1.328367,-0.808639,-0.084196,0.721496,-0.230180,-0.395338,1.167631,-0.425981,-0.380206,1.296054,-0.524573,-0.251447,1.274673,-0.560187,-0.118903
scuba,3,0.000006,0.055304,0.023337,0.053806,0.078397,0.128667,0.000007,0.000002,0.000003,0.163931,0.052950,0.185530,0.159545,0.002022,0.683432,0.671010,0.001476,0.035725,0.052746,0.146824,0.454847,0.003570,0.009493,0.000110,0.000079,0.000899,0.000323,0.000087,0.029122,0.011068,0.000543,0.001319,0.002144,0.000085,0.000499,0.000602,0.185136,0.189813,0.035171,0.020241,0.018775,0.000572,0.083112,0.068256,0.015176,0.030871,0.001952,0.303713,0.001054,0.001254,0.000009,0.000002,1.000000,0.000000,0.000000,0.000000,0.000000,0.053316,-0.504885,0.088360,0.323173,-0.881647,0.055950,0.618191,-1.062865,0.012463,0.869319,-1.146833,-0.015018,0.437890,-0.998986,-0.228549,0.961258,-1.290868,-0.323373,1.196850,-1.316707,-0.283781,1.243574,-1.243774,-0.202339,0.557689,-0.772288,-0.304203,1.148213,-1.055719,-0.361915,1.317290,-1.098714,-0.241816,1.289219,-1.046968,-0.115451,0.657850,-0.506703,-0.357346,1.219846,-0.757160,-0.384876,1.346296,-0.822798,-0.218214,1.279868,-0.799357,-0.066169,0.722084,-0.238091,-0.400728,1.180868,-0.434630,-0.381748,1.287907,-0.521225,-0.239491,1.243079,-0.537367,-0.095692
scuba,3,0.000004,0.036874,0.018147,0.083117,0.071342,0.110963,0.000006,0.000002,0.000004,0.148130,0.038959,0.202760,0.177382,0.004031,0.587849,0.580588,0.001821,0.031379,0.050446,0.127278,0.431555,0.003634,0.014714,0.000116,0.000132,0.000988,0.000141,0.000114,0.026288,0.008225,0.000632,0.001595,0.001849,0.000186,0.000524,0.000587,0.149154,0.178065,0.026110,0.007118,0.019103,0.000630,0.058637,0.049808,0.018937,0.039884,0.002999,0.402017,0.001072,0.001232,0.000007,0.000001,1.000000,0.000000,0.000000,0.000000,0.000000,0.058223,-0.507911,0.098622,0.323063,-0.876793,0.066253,0.614721,-1.039670,0.017652,0.865233,-1.105486,-0.016451,0.440852,-0.987646,-0.212251,0.977074,-1.300040,-0.320880,1.203210,-1.317927,-0.295108,1.233450,-1.237470,-0.219626,0.565051,-0.770433,-0.295189,1.155992,-1.079664,-0.360701,1.335737,-1.111696,-0.251699,1.316096,-1.051278,-0.131287,0.668706,-0.509708,-0.356656,1.225477,-0.784906,-0.388571,1.361880,-0.834848,-0.229054,1.308125,-0.798806,-0.080777,0.738207,-0.238769,-0.407356,1.189644,-0.450706,-0.386297,1.295376,-0.531613,-0.243060,1.253040,-0.541058,-0.099386
